series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
B;GRU (64u, 6w, 50e, 64b);9,0551;3,6977;4,3234;3,6858;3,3247;4,0222;3,3181;False
B;GRU (64u, 6w, 100e, 64b);11,2844;3,6873;4,3230;3,6753;3,3015;4,0122;3,2949;False
B;GRU (64u, 6w, 150e, 64b);13,4770;3,3402;4,2013;3,3280;3,5073;4,2017;3,5010;False
B;GRU (64u, 12w, 30e, 16b);8,1026;3,6639;4,3665;3,6522;3,3299;4,0788;3,3231;False
B;GRU (64u, 12w, 50e, 16b);9,1023;3,6400;4,2970;3,6283;3,3441;4,0447;3,3372;False
B;GRU (64u, 12w, 100e, 16b);14,6897;2,5472;3,6701;2,5393;4,5215;5,1996;4,5257;False
B;GRU (64u, 12w, 150e, 16b);16,8201;1,5388;2,0161;1,5334;5,3894;6,0782;5,3961;False
B;GRU (64u, 12w, 30e, 32b);8,0106;3,7773;4,3733;3,7649;3,2976;4,0517;3,2913;False
B;GRU (64u, 12w, 50e, 32b);9,3473;3,6892;4,3181;3,6773;3,2916;4,0091;3,2850;False
B;GRU (64u, 12w, 100e, 32b);12,0929;3,5018;4,3310;3,4901;3,6543;4,3335;3,6507;False
B;GRU (64u, 12w, 150e, 32b);14,7320;2,7766;3,7168;2,7656;4,3439;4,9967;4,3414;False
B;GRU (64u, 12w, 30e, 64b);8,5492;3,6576;4,3252;3,6458;3,3591;4,0601;3,3525;False
B;GRU (64u, 12w, 50e, 64b);10,5248;3,6721;4,3194;3,6602;3,3222;4,0280;3,3156;False
B;GRU (64u, 12w, 100e, 64b);14,0521;3,6594;4,3330;3,6478;3,3134;4,0563;3,3064;False
B;GRU (64u, 12w, 150e, 64b);17,3208;3,5746;4,3169;3,5624;3,4652;4,1757;3,4592;False
B;GRU (64u, 18w, 30e, 16b);9,6322;3,8430;4,4446;3,8299;3,2853;4,0867;3,2791;False
B;GRU (64u, 18w, 50e, 16b);10,8225;3,6625;4,3589;3,6509;3,3289;4,0784;3,3220;False
B;GRU (64u, 18w, 100e, 16b);13,0824;3,5257;4,2724;3,5133;3,9076;4,6593;3,9027;False
B;GRU (64u, 18w, 150e, 16b);31,6442;3,1873;4,1574;3,1735;4,4182;5,0088;4,4209;False
B;GRU (64u, 18w, 30e, 32b);8,1195;3,7244;4,3411;3,7123;3,2965;4,0149;3,2901;False
B;GRU (64u, 18w, 50e, 32b);8,6243;3,6865;4,3380;3,6746;3,3011;4,0270;3,2945;False
B;GRU (64u, 18w, 100e, 32b);11,9567;3,5930;4,2663;3,5809;3,7026;4,5128;3,6965;False
B;GRU (64u, 18w, 150e, 32b);13,9802;3,6091;4,4055;3,5977;3,6339;4,3705;3,6308;False
B;GRU (64u, 18w, 30e, 64b);7,6560;3,6883;4,3163;3,6765;3,3364;4,0311;3,3298;False
B;GRU (64u, 18w, 50e, 64b);8,1093;3,6512;4,3462;3,6393;3,3404;4,0629;3,3338;False
B;GRU (64u, 18w, 100e, 64b);11,0141;3,7187;4,3408;3,7066;3,2889;4,0095;3,2825;False
B;GRU (64u, 18w, 150e, 64b);12,8163;3,6604;4,4015;3,6494;3,4450;4,1959;3,4388;False
B;GRU (64u, 24w, 30e, 16b);7,3977;3,6908;4,3360;3,6789;3,2974;4,0250;3,2907;False
B;GRU (64u, 24w, 50e, 16b);8,9298;3,6151;4,2834;3,6035;3,3548;4,0829;3,3479;False
B;GRU (64u, 24w, 100e, 16b);13,5983;1,6287;2,4071;1,6218;4,8427;5,1854;4,8345;False
B;GRU (64u, 24w, 150e, 16b);19,6831;1,0688;1,4030;1,0671;5,4001;6,1073;5,3834;False
B;GRU (64u, 24w, 30e, 32b);8,3580;3,7084;4,3253;3,6965;3,3231;4,0242;3,3166;False
B;GRU (64u, 24w, 50e, 32b);9,8046;3,7378;4,3505;3,7256;3,2839;4,0145;3,2776;False
B;GRU (64u, 24w, 100e, 32b);13,0851;3,3769;4,1634;3,3649;3,3828;3,9995;3,3787;False
